2025-01-20 21:02:21,278 Epoch: [1][0/238]	Time 3.858 (3.858)	Data 0.010 (0.010)	Loss 2.0671 (2.0671)	Prec@1 9.375 (9.375)	Prec@3 43.750 (43.750)	
2025-01-20 21:02:24,390 Epoch: [1][10/238]	Time 0.162 (0.626)	Data 0.008 (0.008)	Loss 0.5403 (1.3037)	Prec@1 59.375 (34.375)	Prec@3 100.000 (71.875)	
2025-01-20 21:02:26,103 Epoch: [1][20/238]	Time 0.162 (0.406)	Data 0.008 (0.008)	Loss 0.6587 (1.0887)	Prec@1 62.500 (43.750)	Prec@3 100.000 (81.250)	
2025-01-20 21:02:27,873 Epoch: [1][30/238]	Time 0.162 (0.329)	Data 0.008 (0.008)	Loss 0.3199 (0.8965)	Prec@1 75.000 (51.562)	Prec@3 100.000 (85.938)	
2025-01-20 21:02:29,553 Epoch: [1][40/238]	Time 0.159 (0.288)	Data 0.008 (0.008)	Loss 0.2399 (0.7652)	Prec@1 87.500 (58.750)	Prec@3 100.000 (88.750)	
2025-01-20 21:02:31,227 Epoch: [1][50/238]	Time 0.151 (0.263)	Data 0.008 (0.008)	Loss 0.4528 (0.7131)	Prec@1 65.625 (59.896)	Prec@3 100.000 (90.625)	
2025-01-20 21:02:32,894 Epoch: [1][60/238]	Time 0.165 (0.246)	Data 0.008 (0.008)	Loss 0.3287 (0.6582)	Prec@1 71.875 (61.607)	Prec@3 100.000 (91.964)	
2025-01-20 21:02:34,607 Epoch: [1][70/238]	Time 0.158 (0.234)	Data 0.008 (0.008)	Loss 0.3412 (0.6186)	Prec@1 65.625 (62.109)	Prec@3 100.000 (92.969)	
2025-01-20 21:02:36,278 Epoch: [1][80/238]	Time 0.160 (0.225)	Data 0.008 (0.008)	Loss 0.3287 (0.5864)	Prec@1 65.625 (62.500)	Prec@3 93.750 (93.056)	
2025-01-20 21:02:37,893 Epoch: [1][90/238]	Time 0.147 (0.217)	Data 0.008 (0.008)	Loss 0.3417 (0.5619)	Prec@1 71.875 (63.438)	Prec@3 96.875 (93.438)	
2025-01-20 21:02:39,493 Epoch: [1][100/238]	Time 0.148 (0.210)	Data 0.008 (0.008)	Loss 0.3015 (0.5382)	Prec@1 75.000 (64.489)	Prec@3 100.000 (94.034)	
2025-01-20 21:02:41,064 Epoch: [1][110/238]	Time 0.147 (0.205)	Data 0.008 (0.008)	Loss 0.2897 (0.5175)	Prec@1 75.000 (65.365)	Prec@3 96.875 (94.271)	
2025-01-20 21:02:42,687 Epoch: [1][120/238]	Time 0.151 (0.201)	Data 0.008 (0.008)	Loss 0.2410 (0.4962)	Prec@1 81.250 (66.587)	Prec@3 100.000 (94.712)	
2025-01-20 21:02:44,307 Epoch: [1][130/238]	Time 0.159 (0.197)	Data 0.008 (0.008)	Loss 0.2406 (0.4780)	Prec@1 75.000 (67.188)	Prec@3 100.000 (95.089)	
2025-01-20 21:02:45,908 Epoch: [1][140/238]	Time 0.146 (0.194)	Data 0.008 (0.008)	Loss 0.1667 (0.4572)	Prec@1 87.500 (68.542)	Prec@3 100.000 (95.417)	
